ID,Status,City,State,Zip,Life.hours,Life.No.Call.No.Show,Life.Call.Email.to.miss.shift,Life.Absence,YTD.hours,No.Call.No.Show,Call.Email.to.miss.shift,Absence,MTD.hours,MTD.No.Call.No.Show,MTD.Call.Email.to.miss.shift,MTD.Absence,Date.entered,Start.date,Stop.date,Orientation.Date
1150,Active,Philadelphia,PA,19147,59.1666666667,0,0,0,32.3333333333,0,0,0,4.75,0,0,0,06-21-2017,06-21-2017,,
1151,Active,Philadelphia,PA,19128,6.5,0,0,0,6.5,0,0,0,0,0,0,0,10-09-2017,10-09-2017,,
1152,Active,,PA,,16,0,0,0,0,0,0,0,0,0,0,0,11-21-2017,11-21-2017,,
1153,Active,Philadelphia,PA,19135,0,0,0,0,0,0,0,0,0,0,0,0,12-27-2017,12-28-2017,,
1154,Active,Philadelphia,PA,19115,0,0,0,0,0,0,0,0,0,0,0,0,09-04-2017,09-04-2017,,
1155,Active,Phila,PA,19114,32.25,0,0,0,32.25,0,0,0,5.25,0,0,0,05-21-2013,05-21-2013,,
1156,Active,Philadelphia,PA,19125,0,0,0,0,0,0,0,0,0,0,0,0,08-23-2017,08-23-2017,,
1157,Active,Philadelphia,PA,19145,4,0,1,1,0,0,0,0,0,0,0,0,09-20-2017,09-20-2017,,
1158,Active,Philadelphia,PA,19143,14.5,0,0,0,1,0,0,0,0,0,0,0,12-31-2014,12-31-2014,,
1159,Active,Philadelphia,PA,19148,22.5,0,0,0,0,0,0,0,0,0,0,0,05-09-2017,05-09-2017,,
1160,Active,Philadelphia,PA,19147,0,0,0,0,0,0,0,0,0,0,0,0,10-10-2017,10-10-2017,,
1161,Active,Philadelphia,PA,19104,4,0,0,0,0,0,0,0,0,0,0,0,12-11-2017,12-11-2017,,
1162,Active,Philadelphia,PA,19106,0,0,0,0,0,0,0,0,0,0,0,0,09-21-2017,09-21-2017,,
1163,Active,Philadelphia,PA,19136,24.4166666667,0,0,0,0,0,0,0,0,0,0,0,08-18-2016,08-18-2016,,
1164,Active,Philadelphia,PA,19130,140.25,0,0,0,0,0,0,0,0,0,0,0,09-11-2015,09-11-2015,,09-09-2015
1165,Active,Philadelphia,PA,19148,0,0,0,0,0,0,0,0,0,0,0,0,06-27-2017,06-27-2017,,
1166,Active,Philadelphia,PA,19106,31.25,0,1,1,1,0,1,1,0,0,0,0,10-04-2017,10-04-2017,,
1167,Active,Lafayette Hill,PA,19444,22,0,0,0,0,0,0,0,0,0,0,0,04-12-2016,04-12-2016,,
1168,Active,Philadelphia,PA,19104,0,0,0,0,0,0,0,0,0,0,0,0,10-10-2017,10-10-2017,,
1169,Active,Philadelphia,PA,19139,0,0,0,0,0,0,0,0,0,0,0,0,08-16-2017,08-16-2017,,
1170,Active,Philadelphia,PA,19148,8.5,0,0,0,0,0,0,0,0,0,0,0,06-28-2017,06-28-2017,,
1171,Active,Philadelphia,PA,19130,0,0,1,1,0,0,0,0,0,0,0,0,07-18-2017,07-18-2017,,
1172,Active,Philadelphia,PA,19122,0,0,1,1,0,0,0,0,0,0,0,0,07-04-2017,07-04-2017,,
1173,Active,Philadelphia,PA,19107,163.75,0,0,0,0,0,0,0,0,0,0,0,06-13-2014,06-13-2014,,06-05-2014
1174,Active,Philadelphia,PA,19145,25,0,0,0,2.25,0,0,0,2.25,0,0,0,04-19-2017,04-19-2017,,11-11-2011
1175,Active,Abington,PA,19001,47.6666666667,0,0,0,29,0,0,0,8,0,0,0,06-02-2017,06-02-2017,,
1176,Active,Philadelphia,PA,19123,0,0,0,0,0,0,0,0,0,0,0,0,10-09-2017,10-09-2017,,
1177,Active,Philadalphia,PA,19111,11,0,0,0,11,0,0,0,0,0,0,0,04-04-2017,04-04-2017,,
1178,Active,Warminster,PA,18974-2751,6,0,0,0,0,0,0,0,0,0,0,0,10-03-2016,10-06-2016,,
1179,Active,,,,0,0,0,0,0,0,0,0,0,0,0,0,06-19-2017,06-19-2017,,
1180,Active,Phila,PA,19116,4.25,0,0,0,4.25,0,0,0,0.5,0,0,0,12-17-2017,12-18-2017,,
1181,Active,levittown,PA,19054,35.5,0,0,0,0,0,0,0,0,0,0,0,10-09-2017,10-09-2017,,
1182,Active,Philadelphia,PA,19148,39.9,0,0,0,12.5,0,0,0,0,0,0,0,08-08-2017,08-08-2017,,
1183,Active,Ardmore,PA,19003,5.5,0,0,0,0,0,0,0,0,0,0,0,07-19-2017,07-19-2017,,
1184,Active,Philadelphia,PA,19103,0,0,0,0,0,0,0,0,0,0,0,0,09-12-2017,09-12-2017,,
1185,Active,Philadephia,PA,19106,33,0,5,5,0,0,0,0,0,0,0,0,05-24-2017,05-24-2017,,
1186,Active,,,,2.5,0,0,0,2.5,0,0,0,0,0,0,0,11-17-2017,11-18-2017,,
1187,Active,Philadelphia,PA,19127,5.75,0,0,0,5.75,0,0,0,0,0,0,0,12-24-2017,12-24-2017,,
1188,Active,Phildelphia,PA,19148,55.75,0,0,0,49.75,0,0,0,3.75,0,0,0,12-04-2017,12-04-2017,,
1189,Active,Philadelphia,PA,19130,0,0,0,0,0,0,0,0,0,0,0,0,07-26-2017,07-26-2017,,
1190,Active,Philadelphia,PA,19103,12.5,0,0,0,2,0,0,0,0,0,0,0,06-29-2017,06-29-2017,,
1191,Active,Philadelphia,PA,19124,0,0,0,0,0,0,0,0,0,0,0,0,11-07-2017,11-08-2017,,
1192,Active,Philadelphia,PA,19143,17.5,0,0,0,0,0,0,0,0,0,0,0,08-24-2017,08-24-2017,,08-20-2017
1193,Active,Philadelphia,PA,19145,4,0,0,0,0,0,0,0,0,0,0,0,08-29-2017,08-29-2017,,
1194,Active,Philadephia,PA,19115,0,0,0,0,0,0,0,0,0,0,0,0,03-23-2017,03-23-2017,,
1195,Active,Philadelphia,PA,19111,6,0,0,0,0,0,0,0,0,0,0,0,10-17-2016,10-17-2016,,
