"","ID","Orientation.Date","Type","NOT.Attending","Present","orientation"
"356",1096,"2/26/17","GF Basic ","","PRESENT","Primary"
"1410",1457,"8/31/17","NE","","PRESENT","Primary"
"2169",2075,"1/23/18","PAC Cat","","PRESENT","Primary"
"1770",1318,"11/7/17","PAC Cat","","PRESENT","Primary"
"2466",1888,"03/13/18","PAC Cat","","PRESENT","Primary"
"1140",1227,"7/11/17","NE","","PRESENT","Primary"
"2764",1903,"5/13/18","GF Basic","","PRESENT","Primary"
"2850",1903,"6/3/18","GF WD","","PRESENT","Secondary"
"2954",2179,"6/19/18","PAC Cat","","PRESENT","Primary"
"1555",1639,"10/1/17","GF Basic + GF WD","","PRESENT","Primary"
"2451",2228,"3/6/18","NE","","PRESENT","Primary"
"1614",1210,"10/8/17","GF Basic + GF WD","","PRESENT","Primary"
"716",1012,"4/30/17","GF Basic + GF WD","","PRESENT","Primary"
"2553",2066,"04/03/18","NE","","PRESENT","Primary"
"2673",2165,"4/22/18","GF Basic","","PRESENT","Primary"
"2674",2153,"4/22/18","GF Basic","","PRESENT","Primary"
"1472",1232,"9/12/17","PAC Cat","","PRESENT","Primary"
"2703",2076,"4/29/18","GF Basic","","PRESENT","Primary"
"1547",1013,"10/1/17","PAC Cat","","PRESENT","Primary"
"2364",2139,"2/20/18","NE","","PRESENT","Primary"
"1312",1513,"8/13/17","NE","","PRESENT","Primary"
"1217",1534,"7/30/17","GF Basic","","PRESENT","Primary"
"1261",1516,"8/6/17","GF Basic","","PRESENT","Primary"
"1965",1103,"12/12/17","PAC Cat","","PRESENT","Primary"
"1873",1225,"11/21/17","PAC Dog","","PRESENT","Primary"
"1879",1631,"11/21/17","NE","","PRESENT","Primary"
"2178",2022,"1/23/18","PAC Dog","","PRESENT","Primary"
"1696",1062,"10/22/17","GF Basic + GF WD","","PRESENT","Primary"
"787",1481,"5/14/17","PAC Cat","","PRESENT","Primary"
